customer_id,first_name,last_name,email,phone,registration_date,state,age_group,loyalty_status,lifetime_value
44,First_43,Last_43,customer_43@email.com,555-2458,2023-04-26,MI,18-25,Platinum,7919.59
45,First_44,Last_44,customer_44@email.com,555-9576,2023-06-14,PA,46-55,Silver,2504.07
46,First_45,Last_45,customer_45@email.com,555-8316,2020-04-07,IL,65+,Silver,5478.96
47,First_46,Last_46,customer_46@email.com,555-4755,2023-01-28,OH,46-55,Gold,6225.96
48,First_47,Last_47,customer_47@email.com,555-4109,2021-03-06,FL,18-25,Gold,731.5
49,First_48,Last_48,customer_48@email.com,555-7346,2022-06-20,PA,65+,Gold,2771.19
50,First_49,Last_49,customer_49@email.com,555-5366,2023-11-19,IL,46-55,Silver,9912.58
51,First_50,Last_50,customer_50@email.com,555-5946,2021-06-17,GA,65+,Bronze,3001.0
52,First_51,Last_51,customer_51@email.com,555-7276,2021-11-14,TX,56-65,Platinum,8532.65
53,First_52,Last_52,customer_52@email.com,555-5913,2021-05-09,NY,18-25,Gold,9325.67
54,First_53,Last_53,customer_53@email.com,555-3630,2020-12-08,NC,46-55,Bronze,5687.12
55,First_54,Last_54,customer_54@email.com,555-2700,2022-01-10,MI,56-65,Gold,7278.7
56,First_55,Last_55,customer_55@email.com,555-4818,2023-10-10,CA,56-65,Silver,5332.31
57,First_56,Last_56,customer_56@email.com,555-4964,2023-07-27,IL,56-65,Platinum,7948.92
58,First_57,Last_57,customer_57@email.com,555-6433,2021-07-11,TX,46-55,Bronze,3524.37
59,First_58,Last_58,customer_58@email.com,555-6774,2022-02-22,MI,36-45,Gold,1005.6
60,First_59,Last_59,customer_59@email.com,555-3842,2022-10-27,OH,26-35,Platinum,8136.09
61,First_60,Last_60,customer_60@email.com,555-9605,2023-09-24,NY,26-35,Platinum,9403.83
62,First_61,Last_61,customer_61@email.com,555-6262,2020-05-30,PA,56-65,Silver,2483.0
63,First_62,Last_62,customer_62@email.com,555-8197,2023-10-09,CA,18-25,Platinum,9503.43
64,First_63,Last_63,customer_63@email.com,555-8153,2022-07-08,NY,26-35,Gold,1686.07
65,First_64,Last_64,customer_64@email.com,555-7928,2021-03-05,NY,36-45,Silver,3825.41
66,First_65,Last_65,customer_65@email.com,555-8715,2023-10-09,FL,65+,Gold,2000.96
67,First_66,Last_66,customer_66@email.com,555-8904,2022-05-02,IL,36-45,Silver,1637.1
68,First_67,Last_67,customer_67@email.com,555-3763,2021-04-04,CA,18-25,Bronze,7070.31
69,First_68,Last_68,customer_68@email.com,555-8292,2020-08-20,IL,46-55,Silver,1672.61
70,First_69,Last_69,customer_69@email.com,555-7182,2020-03-04,GA,56-65,Platinum,9611.62
71,First_70,Last_70,customer_70@email.com,555-1702,2021-03-05,PA,36-45,Bronze,3317.53
72,First_71,Last_71,customer_71@email.com,555-2373,2020-06-17,TX,46-55,Silver,9451.93
73,First_72,Last_72,customer_72@email.com,555-3630,2023-01-29,NC,26-35,Bronze,7757.4
74,First_73,Last_73,customer_73@email.com,555-1930,2023-06-21,CA,56-65,Platinum,6644.27
75,First_74,Last_74,customer_74@email.com,555-6430,2021-07-26,NC,18-25,Platinum,301.64
76,First_75,Last_75,customer_75@email.com,555-1569,2022-05-20,TX,46-55,Bronze,9222.91
77,First_76,Last_76,customer_76@email.com,555-9162,2021-02-13,OH,26-35,Gold,4114.84
78,First_77,Last_77,customer_77@email.com,555-5060,2023-09-04,GA,46-55,Silver,9100.24
79,First_78,Last_78,customer_78@email.com,555-1360,2021-03-01,NY,65+,Bronze,2248.11
80,First_79,Last_79,customer_79@email.com,555-1066,2022-01-06,NY,56-65,Bronze,3931.34
81,First_80,Last_80,customer_80@email.com,555-2678,2020-11-01,GA,65+,Silver,1904.89
82,First_81,Last_81,customer_81@email.com,555-4737,2020-07-30,TX,65+,Silver,9399.37
83,First_82,Last_82,customer_82@email.com,555-2675,2022-08-04,GA,26-35,Bronze,4564.32
84,First_83,Last_83,customer_83@email.com,555-7695,2020-11-03,FL,26-35,Platinum,2021.23
85,First_84,Last_84,customer_84@email.com,555-6801,2020-03-21,MI,18-25,Silver,907.93
86,First_85,Last_85,customer_85@email.com,555-5389,2023-03-15,PA,65+,Gold,6714.33
87,First_86,Last_86,customer_86@email.com,555-7246,2021-06-01,PA,56-65,Gold,8361.71
88,First_87,Last_87,customer_87@email.com,555-3736,2023-11-18,OH,46-55,Gold,7294.58
89,First_88,Last_88,customer_88@email.com,555-2878,2022-08-31,PA,56-65,Platinum,600.7
90,First_89,Last_89,customer_89@email.com,555-4347,2020-06-09,IL,36-45,Silver,1806.92
91,First_90,Last_90,customer_90@email.com,555-9275,2020-08-23,PA,26-35,Silver,6792.55
92,First_91,Last_91,customer_91@email.com,555-1127,2022-07-05,OH,26-35,Bronze,2039.94
93,First_92,Last_92,customer_92@email.com,555-2709,2022-01-07,NY,26-35,Platinum,5844.46
94,First_93,Last_93,customer_93@email.com,555-2810,2022-08-02,NC,56-65,Bronze,4817.39
95,First_94,Last_94,customer_94@email.com,555-2956,2020-12-21,CA,18-25,Gold,4976.33
96,First_95,Last_95,customer_95@email.com,555-1968,2021-12-13,FL,65+,Bronze,8369.53
97,First_96,Last_96,customer_96@email.com,555-9080,2020-08-29,OH,56-65,Platinum,9146.18
98,First_97,Last_97,customer_97@email.com,555-4215,2022-06-10,PA,36-45,Gold,3638.87
99,First_98,Last_98,customer_98@email.com,555-2226,2023-10-09,PA,36-45,Bronze,9291.02
100,First_99,Last_99,customer_99@email.com,555-1326,2023-01-31,TX,56-65,Platinum,1785.9
101,First_100,Last_100,customer_100@email.com,555-9484,2023-02-18,PA,65+,Bronze,231.21
102,First_101,Last_101,customer_101@email.com,555-9430,2023-12-01,NY,65+,Platinum,8277.06
103,First_102,Last_102,customer_102@email.com,555-8974,2020-07-21,NC,26-35,Bronze,2051.09
104,First_103,Last_103,customer_103@email.com,555-7319,2021-01-09,OH,18-25,Platinum,5304.14
105,First_104,Last_104,customer_104@email.com,555-6719,2020-01-26,IL,26-35,Platinum,1962.26
106,First_105,Last_105,customer_105@email.com,555-6224,2020-03-27,FL,56-65,Bronze,9961.5
107,First_106,Last_106,customer_106@email.com,555-5579,2022-03-02,NY,18-25,Platinum,7293.49
108,First_107,Last_107,customer_107@email.com,555-7674,2020-02-28,GA,65+,Silver,9974.85
109,First_108,Last_108,customer_108@email.com,555-5039,2022-06-22,MI,56-65,Silver,7002.22
110,First_109,Last_109,customer_109@email.com,555-9836,2020-04-10,NC,26-35,Silver,8906.23
111,First_110,Last_110,customer_110@email.com,555-8527,2023-04-21,OH,56-65,Bronze,6597.91
112,First_111,Last_111,customer_111@email.com,555-4865,2023-05-03,GA,65+,Bronze,316.28
113,First_112,Last_112,customer_112@email.com,555-3082,2023-01-31,FL,46-55,Gold,5897.94
114,First_113,Last_113,customer_113@email.com,555-4290,2020-07-03,CA,26-35,Bronze,362.69
115,First_114,Last_114,customer_114@email.com,555-2614,2021-12-02,TX,18-25,Silver,9108.92
116,First_115,Last_115,customer_115@email.com,555-1087,2021-07-20,OH,46-55,Platinum,5618.59
117,First_116,Last_116,customer_116@email.com,555-2291,2020-06-18,OH,36-45,Silver,8223.95
118,First_117,Last_117,customer_117@email.com,555-2005,2022-01-26,IL,26-35,Platinum,6490.34
119,First_118,Last_118,customer_118@email.com,555-7242,2021-12-27,OH,56-65,Platinum,8091.38
120,First_119,Last_119,customer_119@email.com,555-7075,2021-11-27,CA,36-45,Gold,5282.84
121,First_120,Last_120,customer_120@email.com,555-2883,2020-07-24,NY,18-25,Platinum,3813.31
122,First_121,Last_121,customer_121@email.com,555-4981,2023-08-03,MI,26-35,Platinum,3930.95
123,First_122,Last_122,customer_122@email.com,555-1393,2023-07-30,NY,26-35,Gold,1375.81
124,First_123,Last_123,customer_123@email.com,555-7912,2022-08-02,GA,56-65,Platinum,6126.44
125,First_124,Last_124,customer_124@email.com,555-9226,2023-06-30,GA,56-65,Gold,7665.01
126,First_125,Last_125,customer_125@email.com,555-8493,2022-04-05,OH,18-25,Bronze,1417.34
127,First_126,Last_126,customer_126@email.com,555-7507,2022-12-19,MI,26-35,Platinum,2935.47
128,First_127,Last_127,customer_127@email.com,555-2770,2023-10-12,NC,26-35,Gold,380.7
129,First_128,Last_128,customer_128@email.com,555-9414,2020-09-20,OH,46-55,Platinum,6454.81
130,First_129,Last_129,customer_129@email.com,555-7494,2023-03-08,PA,65+,Platinum,2674.67
131,First_130,Last_130,customer_130@email.com,555-7413,2020-01-03,TX,56-65,Bronze,9244.34
132,First_131,Last_131,customer_131@email.com,555-3227,2021-08-05,NC,26-35,Bronze,7209.44
133,First_132,Last_132,customer_132@email.com,555-7443,2021-07-31,GA,26-35,Bronze,6689.67
134,First_133,Last_133,customer_133@email.com,555-8600,2022-06-03,TX,18-25,Bronze,2741.39
135,First_134,Last_134,customer_134@email.com,555-3699,2023-08-08,FL,56-65,Silver,9564.6
136,First_135,Last_135,customer_135@email.com,555-5921,2022-09-17,NC,26-35,Platinum,2625.89
137,First_136,Last_136,customer_136@email.com,555-8344,2023-09-18,OH,36-45,Silver,3302.68
138,First_137,Last_137,customer_137@email.com,555-4443,2021-12-20,TX,46-55,Bronze,647.45
139,First_138,Last_138,customer_138@email.com,555-5990,2020-08-24,TX,26-35,Bronze,2909.32
140,First_139,Last_139,customer_139@email.com,555-1191,2021-12-09,GA,26-35,Gold,7117.02
141,First_140,Last_140,customer_140@email.com,555-9937,2022-05-07,CA,36-45,Bronze,1479.05
142,First_141,Last_141,customer_141@email.com,555-1137,2021-08-23,IL,46-55,Bronze,8922.64
143,First_142,Last_142,customer_142@email.com,555-2176,2022-08-12,OH,36-45,Silver,4734.04
144,First_143,Last_143,customer_143@email.com,555-3864,2022-06-12,TX,65+,Bronze,2079.79
145,First_144,Last_144,customer_144@email.com,555-4407,2020-05-19,NC,36-45,Silver,5026.72
146,First_145,Last_145,customer_145@email.com,555-7835,2023-08-17,MI,46-55,Bronze,518.18
147,First_146,Last_146,customer_146@email.com,555-2445,2020-08-15,OH,36-45,Silver,652.25
148,First_147,Last_147,customer_147@email.com,555-9100,2022-03-14,NC,46-55,Platinum,4473.14
149,First_148,Last_148,customer_148@email.com,555-9512,2021-12-18,IL,36-45,Bronze,2726.82
150,First_149,Last_149,customer_149@email.com,555-2288,2022-09-01,IL,65+,Bronze,7940.83
151,First_150,Last_150,customer_150@email.com,555-5381,2023-12-13,NC,18-25,Bronze,6902.01
152,First_151,Last_151,customer_151@email.com,555-8485,2021-10-10,FL,26-35,Gold,1690.29
153,First_152,Last_152,customer_152@email.com,555-7617,2023-02-11,PA,18-25,Gold,9176.64
154,First_153,Last_153,customer_153@email.com,555-7578,2022-03-08,NC,18-25,Gold,5085.07
155,First_154,Last_154,customer_154@email.com,555-8749,2022-07-18,NC,26-35,Gold,5124.42
156,First_155,Last_155,customer_155@email.com,555-6297,2023-12-15,TX,18-25,Platinum,1180.04
157,First_156,Last_156,customer_156@email.com,555-3211,2021-08-26,PA,65+,Platinum,4339.19
158,First_157,Last_157,customer_157@email.com,555-8372,2020-04-30,FL,36-45,Bronze,2941.91
159,First_158,Last_158,customer_158@email.com,555-6072,2020-08-05,NC,18-25,Bronze,8572.92
160,First_159,Last_159,customer_159@email.com,555-2640,2020-11-21,NY,65+,Silver,8645.44
161,First_160,Last_160,customer_160@email.com,555-8132,2021-12-03,FL,65+,Platinum,5857.49
162,First_161,Last_161,customer_161@email.com,555-8523,2023-11-07,FL,36-45,Silver,9371.96
163,First_162,Last_162,customer_162@email.com,555-6660,2020-07-02,NC,26-35,Gold,3043.35
164,First_163,Last_163,customer_163@email.com,555-7761,2020-06-21,GA,26-35,Platinum,9579.05
165,First_164,Last_164,customer_164@email.com,555-9626,2022-10-14,PA,46-55,Bronze,8101.07
166,First_165,Last_165,customer_165@email.com,555-6114,2023-08-12,IL,65+,Gold,4900.18
167,First_166,Last_166,customer_166@email.com,555-9292,2023-10-15,PA,56-65,Bronze,6613.06
168,First_167,Last_167,customer_167@email.com,555-5827,2021-09-04,NC,46-55,Silver,5337.45
169,First_168,Last_168,customer_168@email.com,555-1618,2022-07-09,CA,36-45,Gold,8834.66
170,First_169,Last_169,customer_169@email.com,555-1656,2020-07-15,CA,18-25,Bronze,3779.22
171,First_170,Last_170,customer_170@email.com,555-8550,2021-07-29,PA,18-25,Gold,8156.36
172,First_171,Last_171,customer_171@email.com,555-7467,2023-05-31,GA,56-65,Silver,353.39
173,First_172,Last_172,customer_172@email.com,555-5786,2020-01-30,CA,56-65,Gold,3387.77
174,First_173,Last_173,customer_173@email.com,555-2494,2021-07-01,TX,46-55,Platinum,9490.14
175,First_174,Last_174,customer_174@email.com,555-1669,2022-09-30,OH,26-35,Platinum,9447.65
176,First_175,Last_175,customer_175@email.com,555-9153,2023-06-04,FL,46-55,Bronze,8811.24
177,First_176,Last_176,customer_176@email.com,555-3238,2023-05-09,NY,46-55,Bronze,9327.77
178,First_177,Last_177,customer_177@email.com,555-6407,2023-04-08,IL,65+,Bronze,2533.53
179,First_178,Last_178,customer_178@email.com,555-2331,2023-06-20,PA,36-45,Silver,8363.98
180,First_179,Last_179,customer_179@email.com,555-5589,2021-05-23,TX,26-35,Gold,3332.02
181,First_180,Last_180,customer_180@email.com,555-9911,2022-05-17,NC,46-55,Platinum,1919.74
182,First_181,Last_181,customer_181@email.com,555-3639,2022-09-16,OH,46-55,Platinum,5996.88
183,First_182,Last_182,customer_182@email.com,555-3652,2022-12-28,GA,65+,Platinum,6605.73
184,First_183,Last_183,customer_183@email.com,555-6437,2023-06-10,FL,26-35,Platinum,4216.73
185,First_184,Last_184,customer_184@email.com,555-6990,2023-05-08,NY,56-65,Gold,1853.99
186,First_185,Last_185,customer_185@email.com,555-4505,2023-02-09,IL,46-55,Platinum,4047.49
187,First_186,Last_186,customer_186@email.com,555-6949,2023-10-14,CA,26-35,Silver,7895.99
188,First_187,Last_187,customer_187@email.com,555-4678,2021-11-01,TX,46-55,Platinum,6745.33
189,First_188,Last_188,customer_188@email.com,555-8926,2021-07-11,NY,36-45,Platinum,6071.78
190,First_189,Last_189,customer_189@email.com,555-4094,2022-03-08,GA,65+,Silver,8973.17
191,First_190,Last_190,customer_190@email.com,555-9819,2020-12-31,TX,65+,Silver,787.51
192,First_191,Last_191,customer_191@email.com,555-2084,2021-12-05,NY,46-55,Silver,4935.41
193,First_192,Last_192,customer_192@email.com,555-8481,2021-08-20,FL,46-55,Platinum,1986.61
194,First_193,Last_193,customer_193@email.com,555-4479,2022-05-26,IL,26-35,Bronze,8266.03
195,First_194,Last_194,customer_194@email.com,555-4398,2022-10-08,PA,36-45,Gold,7843.92
196,First_195,Last_195,customer_195@email.com,555-8777,2023-09-28,NY,18-25,Platinum,463.01
197,First_196,Last_196,customer_196@email.com,555-3199,2023-07-02,CA,65+,Silver,9491.27
198,First_197,Last_197,customer_197@email.com,555-5869,2020-12-08,NC,26-35,Platinum,179.61
199,First_198,Last_198,customer_198@email.com,555-6379,2020-04-28,GA,46-55,Silver,2887.0
200,First_199,Last_199,customer_199@email.com,555-9164,2022-04-09,CA,46-55,Gold,7275.0
201,First_200,Last_200,customer_200@email.com,555-6761,2020-04-30,OH,26-35,Silver,3390.93
202,First_201,Last_201,customer_201@email.com,555-5605,2020-01-23,OH,65+,Gold,4877.33
203,First_202,Last_202,customer_202@email.com,555-5539,2021-01-28,CA,18-25,Bronze,6075.22
204,First_203,Last_203,customer_203@email.com,555-3529,2022-02-28,MI,26-35,Silver,115.57
205,First_204,Last_204,customer_204@email.com,555-2847,2020-12-29,TX,56-65,Bronze,5410.75
206,First_205,Last_205,customer_205@email.com,555-7783,2022-12-03,CA,65+,Silver,810.54
207,First_206,Last_206,customer_206@email.com,555-3616,2023-10-18,NY,26-35,Silver,294.42
208,First_207,Last_207,customer_207@email.com,555-5734,2023-07-21,MI,18-25,Silver,1468.3
209,First_208,Last_208,customer_208@email.com,555-9677,2022-09-21,CA,46-55,Platinum,2921.42
210,First_209,Last_209,customer_209@email.com,555-9227,2021-07-17,CA,56-65,Bronze,1211.6
211,First_210,Last_210,customer_210@email.com,555-3767,2023-04-02,TX,36-45,Platinum,2581.23
212,First_211,Last_211,customer_211@email.com,555-8545,2021-09-29,OH,36-45,Platinum,3350.96
213,First_212,Last_212,customer_212@email.com,555-9984,2023-12-14,OH,26-35,Silver,7033.57
214,First_213,Last_213,customer_213@email.com,555-6185,2020-03-01,CA,36-45,Gold,5891.34
215,First_214,Last_214,customer_214@email.com,555-6816,2022-01-27,OH,18-25,Platinum,8756.84
216,First_215,Last_215,customer_215@email.com,555-7395,2021-11-21,GA,56-65,Silver,4391.66
217,First_216,Last_216,customer_216@email.com,555-8657,2021-06-18,CA,26-35,Gold,1914.09
218,First_217,Last_217,customer_217@email.com,555-1496,2022-05-27,OH,36-45,Platinum,721.28
219,First_218,Last_218,customer_218@email.com,555-3737,2021-10-16,NC,26-35,Platinum,2769.77
220,First_219,Last_219,customer_219@email.com,555-1731,2022-11-22,NY,46-55,Silver,7404.6
221,First_220,Last_220,customer_220@email.com,555-2418,2022-03-07,GA,36-45,Silver,1099.97
222,First_221,Last_221,customer_221@email.com,555-9885,2021-09-21,NY,56-65,Platinum,9868.4
223,First_222,Last_222,customer_222@email.com,555-5140,2021-12-10,MI,46-55,Silver,8983.53
224,First_223,Last_223,customer_223@email.com,555-3029,2021-04-12,NC,26-35,Platinum,2360.38
225,First_224,Last_224,customer_224@email.com,555-5884,2022-06-17,NC,56-65,Gold,3812.1
226,First_225,Last_225,customer_225@email.com,555-2718,2020-03-24,MI,46-55,Bronze,934.25
227,First_226,Last_226,customer_226@email.com,555-6777,2023-08-30,NC,46-55,Gold,1019.18
228,First_227,Last_227,customer_227@email.com,555-6514,2020-06-16,FL,56-65,Silver,747.28
229,First_228,Last_228,customer_228@email.com,555-3010,2021-06-13,NY,26-35,Bronze,766.46
230,First_229,Last_229,customer_229@email.com,555-3685,2022-01-06,NY,56-65,Silver,9427.08
231,First_230,Last_230,customer_230@email.com,555-5645,2021-06-01,IL,65+,Gold,4064.22
232,First_231,Last_231,customer_231@email.com,555-8013,2022-03-29,GA,46-55,Gold,9208.83
233,First_232,Last_232,customer_232@email.com,555-2266,2020-07-15,TX,26-35,Bronze,6745.85
234,First_233,Last_233,customer_233@email.com,555-4407,2022-10-23,OH,36-45,Silver,4242.09
235,First_234,Last_234,customer_234@email.com,555-6027,2023-10-07,MI,36-45,Gold,712.9
236,First_235,Last_235,customer_235@email.com,555-7984,2020-07-20,NC,26-35,Bronze,3750.73
237,First_236,Last_236,customer_236@email.com,555-1582,2021-05-03,NY,18-25,Bronze,2085.53
238,First_237,Last_237,customer_237@email.com,555-7780,2022-07-03,FL,18-25,Bronze,5256.38
239,First_238,Last_238,customer_238@email.com,555-5805,2020-10-23,NC,18-25,Silver,7073.96
240,First_239,Last_239,customer_239@email.com,555-9073,2020-05-28,FL,36-45,Gold,9293.77
241,First_240,Last_240,customer_240@email.com,555-1357,2020-06-30,NY,26-35,Gold,2061.24
242,First_241,Last_241,customer_241@email.com,555-1311,2023-10-09,OH,46-55,Platinum,2338.77
243,First_242,Last_242,customer_242@email.com,555-9332,2021-12-04,FL,56-65,Silver,5020.54
244,First_243,Last_243,customer_243@email.com,555-6945,2021-05-04,NC,26-35,Silver,9535.62
245,First_244,Last_244,customer_244@email.com,555-7423,2023-11-19,TX,18-25,Gold,5243.25
246,First_245,Last_245,customer_245@email.com,555-1384,2020-05-15,IL,65+,Bronze,3099.26
247,First_246,Last_246,customer_246@email.com,555-8348,2020-01-21,OH,56-65,Platinum,6969.11
248,First_247,Last_247,customer_247@email.com,555-2455,2022-07-13,PA,65+,Bronze,4238.92
249,First_248,Last_248,customer_248@email.com,555-8677,2021-08-14,MI,46-55,Silver,187.68
250,First_249,Last_249,customer_249@email.com,555-4797,2020-03-29,MI,56-65,Silver,5158.27
251,First_250,Last_250,customer_250@email.com,555-5121,2020-03-20,CA,65+,Bronze,6696.68
252,First_251,Last_251,customer_251@email.com,555-9329,2023-10-12,PA,36-45,Gold,4354.65
253,First_252,Last_252,customer_252@email.com,555-4048,2023-07-18,FL,46-55,Gold,7595.08
254,First_253,Last_253,customer_253@email.com,555-9597,2021-02-09,FL,65+,Platinum,9084.5
255,First_254,Last_254,customer_254@email.com,555-3469,2020-05-24,MI,36-45,Gold,7220.2
256,First_255,Last_255,customer_255@email.com,555-8581,2020-10-24,IL,65+,Platinum,2262.97
257,First_256,Last_256,customer_256@email.com,555-2426,2022-12-11,PA,26-35,Platinum,8814.94
258,First_257,Last_257,customer_257@email.com,555-2984,2022-02-25,OH,26-35,Platinum,7476.13
259,First_258,Last_258,customer_258@email.com,555-7394,2023-08-12,NC,18-25,Platinum,5472.8
260,First_259,Last_259,customer_259@email.com,555-7636,2023-01-12,FL,46-55,Platinum,3626.37
261,First_260,Last_260,customer_260@email.com,555-2728,2020-05-14,TX,18-25,Bronze,4085.56
262,First_261,Last_261,customer_261@email.com,555-9792,2023-07-14,CA,56-65,Bronze,2415.35
263,First_262,Last_262,customer_262@email.com,555-8953,2022-08-21,NC,56-65,Platinum,8969.79
264,First_263,Last_263,customer_263@email.com,555-1343,2020-04-09,NY,46-55,Gold,7381.0
265,First_264,Last_264,customer_264@email.com,555-3644,2020-12-10,PA,18-25,Bronze,757.21
266,First_265,Last_265,customer_265@email.com,555-4479,2022-08-16,CA,26-35,Platinum,2263.11
267,First_266,Last_266,customer_266@email.com,555-4918,2023-06-14,PA,18-25,Silver,6491.9
268,First_267,Last_267,customer_267@email.com,555-2417,2023-03-04,NY,18-25,Gold,6063.5
269,First_268,Last_268,customer_268@email.com,555-4212,2021-03-26,TX,56-65,Platinum,2851.59
270,First_269,Last_269,customer_269@email.com,555-1774,2020-07-25,TX,65+,Platinum,8705.59
271,First_270,Last_270,customer_270@email.com,555-2297,2023-09-11,IL,26-35,Silver,9875.81
272,First_271,Last_271,customer_271@email.com,555-1687,2021-12-08,MI,46-55,Bronze,2455.47
273,First_272,Last_272,customer_272@email.com,555-5263,2023-01-12,FL,36-45,Silver,2211.42
274,First_273,Last_273,customer_273@email.com,555-5230,2021-02-24,MI,26-35,Silver,4783.75
275,First_274,Last_274,customer_274@email.com,555-2452,2023-10-18,OH,65+,Platinum,5868.42
276,First_275,Last_275,customer_275@email.com,555-2714,2022-06-02,TX,65+,Gold,8406.35
277,First_276,Last_276,customer_276@email.com,555-4870,2022-04-18,MI,46-55,Gold,1383.14
278,First_277,Last_277,customer_277@email.com,555-6774,2023-09-30,TX,46-55,Gold,7135.07
279,First_278,Last_278,customer_278@email.com,555-6939,2021-02-15,TX,18-25,Bronze,4481.72
280,First_279,Last_279,customer_279@email.com,555-4430,2023-02-03,FL,56-65,Silver,2904.64
281,First_280,Last_280,customer_280@email.com,555-5331,2020-08-26,CA,18-25,Bronze,5432.98
282,First_281,Last_281,customer_281@email.com,555-8407,2023-01-27,MI,46-55,Platinum,8919.83
283,First_282,Last_282,customer_282@email.com,555-9173,2020-03-11,GA,18-25,Silver,9883.61
284,First_283,Last_283,customer_283@email.com,555-4559,2020-03-25,NY,36-45,Platinum,8716.3
285,First_284,Last_284,customer_284@email.com,555-4628,2021-03-13,TX,56-65,Bronze,6298.08
286,First_285,Last_285,customer_285@email.com,555-1994,2020-04-20,NC,65+,Silver,2249.62
287,First_286,Last_286,customer_286@email.com,555-3437,2023-05-31,IL,56-65,Silver,3066.35
288,First_287,Last_287,customer_287@email.com,555-8248,2020-04-28,IL,26-35,Bronze,8121.91
